"School.Name","Principal","Grades","Division.Schools","Street.Adress.and.Phone.Number","Phone.Number","City","Zip","State"
"Bryant High","Christopher Larrick","07-08","Fairfax County Public Schools","2709 Popkins Ln","703-660-2001","Alexandria","22306","VA"
"Buchanan County Technology, Career & Higher Learning Center","Mr. Tim Bane","09-12","Buchanan County Public Schools","1124 Almarine Drive","Null","Null","Null","Null"
"Buchanan Elementary","Ms. Debbie H. Garrett","07-12","Botetourt County Public Schools","255 Schoolhouse Rd","540-254-2084","Buchanan","24066","VA"
"Buckingham Co Elementary","Mrs. Courtney Browning","09-12","Buckingham County Public Schools","40 Frank Harris Raod","434-505-0000","Dillwyn","23936","VA"
"Buckingham Co Primary","Mrs. Helen Montgomery","08-12","Buckingham County Public Schools","128 Frank Harris Road","434-505-0001","Dillwyn","23936","VA"
"Buckingham County High","Mrs. Patti Branch","06-08","Buckingham County Public Schools","78 Knights Rd.","434-969-6160","Buckingham","23921","VA"
"Buckingham County Middle","Mr. Zane Harshman","06-08","Buckingham County Public Schools","1184 High School Rd.","434-969-1044","Buckingham","23921","VA"
"Buckland Mills Elementary","Ms. Kelle Stroud","07-08","Prince William County Public Schools","10511 Wharfdale Place","703-530-1560","Gainesville","20155","VA"
"Bucknell Elementary","LaRonda Peterson","06-08","Fairfax County Public Schools","6925 University Dr","703-660-2900","Alexandria","22307","VA"
"Buffalo Gap High","Dr. Ian H. Marshall","06-08","Augusta County Public Schools","1800 Buffalo Gap Hwy","540-337-6021","Swoope","24479","VA"
"Buffalo Trail Elementary","Alisa Rogaliner","09-12","Loudoun County Public Schools","42190 Seven Hills Drive","703-722-2780","Aldie","20105","VA"
"Buford Middle","Mr. Rodney Jordan","09-12","Charlottesville Public Schools","1000 Cherry Avenue","434-245-2411","Charlottesville","22903-3852","VA"
"Bull Run Elementary","Jason Pensler","06-08","Fairfax County Public Schools","15301 Lee Hwy","703-227-1400","Centreville","20121","VA"
"Bull Run Middle","Mr. Matthew T. Phythian","09-12","Prince William County Public Schools","6308 Catharpin Rd.","703-753-9969","Gainesville","20155","VA"
"Burke School","Deborah Strayhorn","09-12","Fairfax County Public Schools","9645 Burke Lake Rd","703-426-7300","Burke","22015","VA"
"Burlington Elementary","Angela (Beth) Grim","06-08","Roanoke County Public Schools","6533 Peters Creek Rd","540-561-8165","Roanoke","24019","VA"
"Burnley-Moran Elementary","Dr. Elizabeth Korab","09-12","Charlottesville Public Schools","1300 Long Street","434-245-2413","Charlottesville","22901-4936","VA"
"Burnt Chimney Elementary","Allison Garland","09-12","Franklin County Public Schools","80 Burnt Chimney Road","540-721-2936","Wirtz","24184","VA"
"Burton Center for Arts and Technology","Christian Kish","09-12","Roanoke County Public Schools","1760 Boulevard","540-857-5000","Salem","24153","VA"
"Bush Hill Elementary","Mary Duffy","03-05","Fairfax County Public Schools","5927 Westchester St","703-924-5600","Alexandria","22310","VA"
"Butts Road Intermediate","Mr. Chad S. Foltz","02-03","Chesapeake Public Schools","1571 Mt Pleasant Rd","757-482-4566","Chesapeake","23322","VA"
"Butts Road Primary","Dr. Kathryn B. Galford","07-08","Chesapeake Public Schools","1000 Mt Pleasant Rd","757-482-5820","Chesapeake","23322","VA"
"Byrd Elementary","James B. Hopkins","06-08","Goochland County Public Schools","2704 Hadensville Fife Rd","804-556-5380","Goochland","23063","VA"
"C. Alton Lindsay Middle","Mr. Gregory D. Hopson","05-06","Hampton Public Schools","1636 Briarfield Rd","757-825-4560","Hampton","23661","VA"
"C. Hunter Ritchie Elementary","Cristy Thorpe","09-12","Fauquier County Public Schools","4416 Broad Run Church Rd","540-422-7650","New Baltimore","20187","VA"
"C.A. Sinclair Elementary","Ms. Heather Goode","09-12","Prince William County Public Schools","7801 Garner Dr","703-361-4811","Manassas","20109","VA"
"C.C. Wells Elementary","Fredrick Geissler","06-08","Chesterfield County Public Schools","13101 S. Chester Rd.","804-768-6265","Chester","23831-4553","VA"
"C.D. Hylton High","Mr. David Cassady","06-08","Prince William County Public Schools","14051 Spriggs Rd","703-580-4000","Woodbridge","22193","VA"
"C.E. Curtis Elementary","Susan Pereira","09-12","Chesterfield County Public Schools","3600 W Hundred Rd","804-768-6175","Chester","23831-1926","VA"
"C.M. Bradley Elementary","Banks Beth","05-07","Fauquier County Public Schools","674 Hastings Ln","540-422-7510","Warrenton","20186","VA"
"Callaghan Elementary","Joshua S. Craft","06-08","Alleghany County Public Schools","4050 Midland Trail","540-965-1810","Covington","24426","VA"
"Callaway Elementary","Pamela Brown","06-08","Franklin County Public Schools","8451 Callaway Rd","540-483-0364","Callaway","24067","VA"
"Camelot Elementary","Mr. Robert J. Sander","06-08","Chesapeake Public Schools","2901 Guenevere Dr","757-558-5347","Chesapeake","23323","VA"
"Camelot Elementary","Aileen Flaherty","09-12","Fairfax County Public Schools","8100 Guinevere Dr","703-645-7000","Annandale","22003","VA"
"Cameron Elementary","Eric Johnson","06-08","Fairfax County Public Schools","3434 Campbell Dr","703-329-2100","Alexandria","22303","VA"
"Camp Allen Elementary","Ms. Deena Copeland","09-12","Norfolk Public Schools","501 C Street","757-451-4170","Norfolk","23505","VA"
"Campbell Court Elementary","Ms. Kenya Gravely","06-08","Henry County Public Schools","220 Campbell Ct","276-629-5344","Bassett","24055","VA"
"Campbell Elementary","Ms. Maureen Nesselrode","09-12","Arlington County Public Schools","737 S. Carlin Springs Rd.","703-228-6770","Arlington","22204","VA"
"Canterbury Woods Elementary","Diane Leipzig","06-08","Fairfax County Public Schools","4910 Willet Dr","703-764-5600","Annandale","22003","VA"
"Capron Elementary","Mrs. Allison Francis","06-08","Southampton County Public Schools","18414 Southampton Pky","434-658-4348","Capron","23829","VA"
"Captain John Smith Elementary","Mr. Michael A. Blount Jr.","07-08","Hampton Public Schools","379 Woodland Rd","757-850-5088","Hampton","23669","VA"
"Cardinal Elementary","Mr. Colin Brown","06-08","Arlington County Public Schools","1644 N. McKinley Road","703-228-5280","Arlington","22205","VA"
"Cardinal Elementary","Juvenal Abrego-Meneses","09-12","Richmond Public Schools","1745 Catalina Dr","804-780-5082","Richmond","23224-4899","VA"
"Cardinal Forest Elementary","Felicia Drake","07-08","Fairfax County Public Schools","8600 Forrester Blvd","703-923-5200","Springfield","22152","VA"
"Cardinal Ridge Elementary","Dr. Mojisola Adejumo","06-08","Loudoun County Public Schools","26155 Bullrun Post Office Road","571-367-4020","Centreville","20120","VA"
"Carl B. Hutcherson Building","Ms. Polly P. Smith","06-08","Lynchburg Public Schools","2401 High Street","434-515-5180","Lynchburg","24501","VA"
"Caroline High","Mr. Joshua Just","09-12","Caroline County Public Schools","19155 Rodgers Clark Blvd","804-633-9886","Milford","22514","VA"
"Caroline Middle","Mrs. Corinne Griggs","09-12","Caroline County Public Schools","13325 Devils Three Jump Road","804-633-6561","Milford","22514","VA"
"Carroll County Education Center","Mr. Jesse DA Woods","09-12","Carroll County Public Schools","205 Oak Street","276-728-9055","Hillsville","24343","VA"
"Carroll County High","Mr. Charles T. Thompson","06-08","Carroll County Public Schools","100 Cavs Lane","276-728-2125","Hillsville","24343","VA"
"Carroll County Middle","Mrs. Dana H. Burnette","05-08","Carroll County Public Schools","1036 N. Main Street","276-728-4211","Hillsville","24343","VA"
"Carrollton Elementary","Mr. Robert Brennan","06-08","Isle of Wight County Public Schools","14440 New Towne Haven Ln","757-357-8850","Carrollton","23314","VA"
"Carrsville Elementary","Pamela Hatfield","03-05","Isle of Wight County Public Schools","5355 Carrsville Hwy","757-562-4054","Carrsville","23315","VA"
"Carson Middle","Gordon Stokes","07-08","Fairfax County Public Schools","13618 McLearen Rd","703-925-3600","Herndon","20171","VA"
"Carter G. Woodson Middle","Mr. Shannon Royster","06-08","Hopewell Public Schools","1000 Winston Churchill Drive","804-541-6404","Hopewell","23860-3758","VA"
"Carver College and Career Academy","Dr. Stephen Hackett","06-08","Chesterfield County Public Schools","12400 Branders Bridge Road","804-768-6156","Chester","23831","VA"
"Carver Elementary","Ms. Diane Willis","09-12","Newport News Public Schools","6160 Jefferson Ave","757-591-4950","Newport News","23605","VA"
"Carysbrook Elementary","Mr. Matthew Scott Lucas","09-12","Fluvanna County Public Schools","9172 James Madison Highway","434-842-1241","Fork Union","23055","VA"
"Cashell Donahoe Elementary","Stephanie V. Williams","09-12","Henrico County Public Schools","1801 Graves Rd","804-328-4035","Sandston","23150","VA"
"Cassell Elementary","Mr. Adam M McLaughlin","09-12","Augusta County Public Schools","1301 Rockfish Rd","540-946-7635","Waynesboro","22980","VA"
"Castlewood Elementary","Mrs. Paula Banner","06-08","Russell County Public Schools","242 Blue Devil Circle","276-762-2315","Castlewood","24224","VA"
"Castlewood High","Mr. Mike Roberson","09-12","Russell County Public Schools","304 Blue Devil Circle","276-762-9449","Castlewood","24224","VA"
"Catoctin Elementary","Janet A. Platenberg","04-05","Loudoun County Public Schools","311 Catoctin Circle SW","571-252-2940","Leesburg","20175","VA"
"Cave Spring Elementary","Jodi Poff","09-12","Roanoke County Public Schools","5404 Springlawn Ave","540-772-7558","Roanoke","24018","VA"
"Cave Spring High","Haley Deeds","09-12","Roanoke County Public Schools","3712 Chaparral Dr","540-772-7550","Roanoke","24018","VA"
"Cave Spring Middle","Fiona Hill","06-08","Roanoke County Public Schools","4880 Brambleton Ave","540-772-7560","Roanoke","24018","VA"
"Cedar Bluff Elementary","Buffie Crabtree","06-08","Tazewell County Public Schools","1089 Cedar Valley Drive","276-963-5765","Cedar Bluff","24609-1400","VA"
"Cedar Forest Elementary","Allison Langridge","09-12","Spotsylvania County Public Schools","3412 Massaponax Church Road","540-834-4569","Fredericksburg","22408","VA"
"Cedar Lane Elementary","Robert Marple","06-08","Loudoun County Public Schools","43700 Tolamac Dr","571-252-2120","Ashburn","20147","VA"
"Cedar Lane School","Thomas Lundy","06-08","Fairfax County Public Schools","101 Cedar Ln SW","703-208-2400","Vienna","22180","VA"
"Cedar Lee Middle","Mr. David Lee","07-08","Fauquier County Public Schools","11138 Marsh Road","540-439-3207","Bealeton","22712","VA"
"Cedar Point Elementary","Mark Anthony Marinoble","09-12","Prince William County Public Schools","12601 Braemar Parkway","703-365-0963","Bristow","20136","VA"
"Cedar Road Elementary","Dr. Tracy A. Cioppa","09-12","Chesapeake Public Schools","1605 Cedar Rd","757-547-0166","Chesapeake","23322","VA"
"Centerville Elementary","Teresa A, Ritzel","09-12","Virginia Beach Public Schools","2201 Centerville Tnpk","757-648-2200","Virginia Beach","23464-5040","VA"
"Central Elementary","Derek Adam","06-08","Amherst County Public Schools","575 Union Hill Rd","434-946-9700","Amherst","24521","VA"
"Central Elementary","Ms. Amy Barnabei","09-12","Fluvanna County Public Schools","3340 Central Plains Road","434-589-8318","Palmyra","22963","VA"
"Central Elementary","Ms. Robin S Parker","06-08","Rockbridge County Public Schools","85 Central Road","540-463-4500","Lexington","24450","VA"
"Central High","Mrs. Patricia Clary","09-12","Lunenburg County Public Schools","131 K-V Rd","434-696-2137","Victoria","23974-9518","VA"
"Central High","Mr. David Stanley","07-08","Wise County Public Schools","5000 Warrior Drive","276-328-8015","Norton","24273","VA"
"Central Middle","Mr. Michael R. Haskins","08-12","Charlotte County Public Schools","250 Statesman Dr","434-542-4536","Charlotte Court House","23923","VA"
"Centre Ridge Elementary","Chip Deliee","06-08","Fairfax County Public Schools","14400 New Braddock Rd","703-227-2600","Centreville","20121-3440","VA"
"Centreville Elementary","Joshua Douds","06-08","Fairfax County Public Schools","14330 Green Trails Blvd","703-502-3500","Centreville","20121-3879","VA"
"Centreville High","Chad Lehman","09-12","Fairfax County Public Schools","6001 Union Mill Rd","703-802-5400","Clifton","20124-1131","VA"
"Cesar Tarrant Middle","Mr. Dwayne L. Lucas","06-08","Hampton Public Schools","1435 Todds Ln","757-825-4520","Hampton","23666","VA"
"Chamberlayne Elementary","Dwight J. VanRossum","06-08","Henrico County Public Schools","8200 St Charles Rd","804-261-5030","Richmond","23227","VA"
"Chancellor Elementary","Shawn D. Hudson","09-12","Spotsylvania County Public Schools","5995 Plank Rd","540-786-6123","Fredericksburg","22407","VA"
"Chancellor High","Cassandra Crawford","05-08","Spotsylvania County Public Schools","6300 Harrison Rd","540-786-2606","Fredericksburg","22407","VA"
"Chancellor Middle","Ms. Deborah H. Frazier","05-07","Spotsylvania County Public Schools","6320 Harrison Rd","540-786-8099","Fredericksburg","22407","VA"
"Chantilly High","Scott Poole","09-12","Fairfax County Public Schools","4201 Stringfellow Rd","703-222-8100","Chantilly","20151-2600","VA"
"Chantilly High School Academy","Scott Settar","09-12","Fairfax County Public Schools","Chantilly HS Academy","703-222-8101","Chantilly","20151-2601","VA"
"Charles Barrett Elementary","Loren Brody","08-12","Alexandria Public Schools","1115 Martha Custis Dr","703-824-6960","Alexandria","22302","VA"
"Charles City County Elementary","Dr. Edward Van Dyke","03-06","Charles City County Public Schools","10049 Courthouse Rd","804-829-9256","Charles City","23030-3440","VA"
"Charles City County High","Mr. Marcus Petty","06-08","Charles City County Public Schools","10039 Courthouse Rd","804-829-9249","Charles City","23030-3440","VA"
"Charles J. Colgan Sr. High","Dr. Timothy Healey","06-12","Prince William County Public Schools","13833 Dumfries Rd","571-374-6550","Manassas","20112","VA"
"Charles M. Johnson Elementary","Katie L. Taylor","06-08","Henrico County Public Schools","5600 Bethlehem Rd","804-673-3735","Richmond","23230","VA"
"Charlottesville High","Dr. Eric Irizarry","06-08","Charlottesville Public Schools","1400 Melbourne Road","434-245-2410","Charlottesville","22901-3148","VA"
"Chase City Elementary","Mr. Frederick Taylor","06-08","Mecklenburg County Public Schools","5450 Highway Forty-Seven","434-372-4770","Chase City","23924","VA"
"Chatham Elementary","Dr. Wanda Carter","09-12","Pittsylvania County Public Schools","245 Chatham Elementary Lane","434-432-6461","Chatham","24531","VA"
"Chatham High","Mr. Jason Reece","06-08","Pittsylvania County Public Schools","100 Cavalier Cir","434-432-8305","Chatham","24531","VA"
"Chatham Middle","Mrs. Julia Boles","09-12","Pittsylvania County Public Schools","11650 US Highway 29 North","434-432-2169","Chatham","24531","VA"
"Check Elementary","Ms. Leona Brown","09-12","Floyd County Public Schools","6810 Floyd Highway North","540-745-9464","Check","24072","VA"
"Cherry Run Elementary","Mark Bibbee","09-12","Fairfax County Public Schools","9732 Ironmaster Dr","703-923-2800","Burke","22015","VA"
"Chesapeake Career Center","Dr. Kelly M. Kitchens","06-08","Chesapeake Public Schools","1617 Cedar Rd","757-547-0134","Chesapeake","23322","VA"
"Chesapeake Center for Student Success","Mr. Nathan L. Brown Jr.","09-12","Chesapeake Public Schools","605 Providence Road","757-578-7046","Chesapeake","23325","VA"
"Chester Early Childhood Learning Academy","Lesley Harris","06-08","Chesterfield County Public Schools","155501 Harrogate Road","804-748-1405","Chester","23831","VA"
"Chesterbrook Elementary","Stacy Kirkpatrick","09-12","Fairfax County Public Schools","1753 Kirby Rd","703-714-8200","McLean","22101","VA"
"Chesterfield Academy Elementary","Dara Gill","07-12","Norfolk Public Schools","2915 Westminster Ave","757-628-2544","Norfolk","23504","VA"
"Chesterfield Career & Technical Center at Hull","Brian Russell","09-12","Chesterfield County Public Schools","13900 Hull Street Road","804-639-8668","Midlothian","23112","VA"
"Chickahominy Middle","Mr. Mark Beckett","06-08","Hanover County Public Schools","9450 Atlee Station Road","804-723-2160","Mechanicsville","23116","VA"
