"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Chesterfield County Public Schools","All Students","Clover Hill High",97.1,97.1
"Chesterfield County Public Schools","Asian","Clover Hill High",100,100
"Chesterfield County Public Schools","Black","Clover Hill High",98.9,98.9
"Chesterfield County Public Schools","Economically Disadvantaged","Clover Hill High",95.7,95.7
"Chesterfield County Public Schools","Female","Clover Hill High",98.7,98.7
"Chesterfield County Public Schools","Hispanic","Clover Hill High",89.4,89.4
"Chesterfield County Public Schools","Male","Clover Hill High",95.6,95.6
"Chesterfield County Public Schools","Multiple Races","Clover Hill High",100,100
"Chesterfield County Public Schools","Students with Disabilities","Clover Hill High",93.1,93.1
"Chesterfield County Public Schools","White","Clover Hill High",97.1,97.1
"Chesterfield County Public Schools","All Students","Cosby High",99.1,99.1
"Chesterfield County Public Schools","Asian","Cosby High",100,100
"Chesterfield County Public Schools","Black","Cosby High",100,100
"Chesterfield County Public Schools","Economically Disadvantaged","Cosby High",97.8,97.8
"Chesterfield County Public Schools","Female","Cosby High",99.3,99.3
"Chesterfield County Public Schools","Hispanic","Cosby High",100,100
"Chesterfield County Public Schools","Male","Cosby High",98.8,98.8
"Chesterfield County Public Schools","Multiple Races","Cosby High",100,100
"Chesterfield County Public Schools","Students with Disabilities","Cosby High",100,100
"Chesterfield County Public Schools","White","Cosby High",98.7,98.7
"Chesterfield County Public Schools","All Students","James River High",93.7,93.9
"Chesterfield County Public Schools","Asian","James River High",96.3,96.3
"Chesterfield County Public Schools","Black","James River High",91.8,91.8
"Chesterfield County Public Schools","Economically Disadvantaged","James River High",87.4,87.4
"Chesterfield County Public Schools","English Learners","James River High",71.7,71.7
"Chesterfield County Public Schools","Female","James River High",96.2,96.2
"Chesterfield County Public Schools","Hispanic","James River High",77.8,78.9
"Chesterfield County Public Schools","Male","James River High",91.5,91.9
"Chesterfield County Public Schools","Multiple Races","James River High",94.1,94.1
"Chesterfield County Public Schools","Students with Disabilities","James River High",88.2,88.2
"Chesterfield County Public Schools","White","James River High",99,99
"Chesterfield County Public Schools","All Students","Lloyd C. Bird High",90.5,90.7
"Chesterfield County Public Schools","Asian","Lloyd C. Bird High",91.7,91.7
"Chesterfield County Public Schools","Black","Lloyd C. Bird High",94.9,95.5
"Chesterfield County Public Schools","Economically Disadvantaged","Lloyd C. Bird High",89.5,90
"Chesterfield County Public Schools","English Learners","Lloyd C. Bird High",64.7,64.7
"Chesterfield County Public Schools","Female","Lloyd C. Bird High",92.1,92.1
"Chesterfield County Public Schools","Hispanic","Lloyd C. Bird High",82.5,82.5
"Chesterfield County Public Schools","Male","Lloyd C. Bird High",89.3,89.7
"Chesterfield County Public Schools","Multiple Races","Lloyd C. Bird High",94.1,94.1
"Chesterfield County Public Schools","Students with Disabilities","Lloyd C. Bird High",87.9,87.9
"Chesterfield County Public Schools","White","Lloyd C. Bird High",90,90
"Chesterfield County Public Schools","All Students","Manchester High",93.2,93.2
"Chesterfield County Public Schools","Black","Manchester High",93.5,93.5
"Chesterfield County Public Schools","Economically Disadvantaged","Manchester High",90.1,90.1
"Chesterfield County Public Schools","English Learners","Manchester High",54.2,54.2
"Chesterfield County Public Schools","Female","Manchester High",97.5,97.5
"Chesterfield County Public Schools","Hispanic","Manchester High",83.3,83.3
"Chesterfield County Public Schools","Male","Manchester High",89.4,89.4
"Chesterfield County Public Schools","Multiple Races","Manchester High",93.8,93.8
"Chesterfield County Public Schools","Students with Disabilities","Manchester High",89.3,89.3
"Chesterfield County Public Schools","White","Manchester High",95.4,95.4
"Chesterfield County Public Schools","All Students","Matoaca High",95.2,95.4
"Chesterfield County Public Schools","Black","Matoaca High",95.9,95.9
"Chesterfield County Public Schools","Economically Disadvantaged","Matoaca High",92.1,92.1
"Chesterfield County Public Schools","Female","Matoaca High",96.9,96.9
"Chesterfield County Public Schools","Hispanic","Matoaca High",90,90
"Chesterfield County Public Schools","Male","Matoaca High",93.5,94
"Chesterfield County Public Schools","Multiple Races","Matoaca High",94.1,100
"Chesterfield County Public Schools","Students with Disabilities","Matoaca High",87,88.9
"Chesterfield County Public Schools","White","Matoaca High",95.3,95.3
"Chesterfield County Public Schools","All Students","Meadowbrook High",76.2,76.2
"Chesterfield County Public Schools","Asian","Meadowbrook High",100,100
"Chesterfield County Public Schools","Black","Meadowbrook High",86,86
"Chesterfield County Public Schools","Economically Disadvantaged","Meadowbrook High",80.9,80.9
"Chesterfield County Public Schools","English Learners","Meadowbrook High",52.1,52.1
"Chesterfield County Public Schools","Female","Meadowbrook High",81.7,81.7
"Chesterfield County Public Schools","Hispanic","Meadowbrook High",63.4,63.4
"Chesterfield County Public Schools","Male","Meadowbrook High",71.3,71.3
"Chesterfield County Public Schools","Multiple Races","Meadowbrook High",83.3,83.3
"Chesterfield County Public Schools","Students with Disabilities","Meadowbrook High",77.6,77.6
"Chesterfield County Public Schools","White","Meadowbrook High",80.6,80.6
"Chesterfield County Public Schools","All Students","Midlothian High",98.7,98.7
"Chesterfield County Public Schools","Asian","Midlothian High",100,100
"Chesterfield County Public Schools","Black","Midlothian High",94.1,94.1
"Chesterfield County Public Schools","Economically Disadvantaged","Midlothian High",95.2,95.2
"Chesterfield County Public Schools","Female","Midlothian High",99,99
"Chesterfield County Public Schools","Hispanic","Midlothian High",97.1,97.1
"Chesterfield County Public Schools","Male","Midlothian High",98.5,98.5
"Chesterfield County Public Schools","Multiple Races","Midlothian High",100,100
"Chesterfield County Public Schools","Students with Disabilities","Midlothian High",97.9,97.9
"Chesterfield County Public Schools","White","Midlothian High",99.3,99.3
"Chesterfield County Public Schools","All Students","Monacan High",95.1,95.4
"Chesterfield County Public Schools","Asian","Monacan High",94.1,94.1
"Chesterfield County Public Schools","Black","Monacan High",92.6,93.4
"Chesterfield County Public Schools","Economically Disadvantaged","Monacan High",90.3,90.3
"Chesterfield County Public Schools","Female","Monacan High",97.3,97.3
"Chesterfield County Public Schools","Hispanic","Monacan High",92.5,92.5
"Chesterfield County Public Schools","Male","Monacan High",93,93.5
"Chesterfield County Public Schools","Multiple Races","Monacan High",86.7,86.7
"Chesterfield County Public Schools","Students with Disabilities","Monacan High",79.5,81.8
"Chesterfield County Public Schools","White","Monacan High",97.9,97.9
"Chesterfield County Public Schools","All Students","Thomas Dale High",94.8,95.1
"Chesterfield County Public Schools","Asian","Thomas Dale High",100,100
"Chesterfield County Public Schools","Black","Thomas Dale High",97.3,97.3
"Chesterfield County Public Schools","Economically Disadvantaged","Thomas Dale High",91.6,92
"Chesterfield County Public Schools","English Learners","Thomas Dale High",80.6,80.6
"Chesterfield County Public Schools","Female","Thomas Dale High",95.8,95.8
"Chesterfield County Public Schools","Hispanic","Thomas Dale High",89.6,89.6
"Chesterfield County Public Schools","Homeless","Thomas Dale High",80,80
"Chesterfield County Public Schools","Male","Thomas Dale High",93.7,94.4
"Chesterfield County Public Schools","Multiple Races","Thomas Dale High",87,87
"Chesterfield County Public Schools","Students with Disabilities","Thomas Dale High",95.3,95.3
"Chesterfield County Public Schools","White","Thomas Dale High",95.1,95.8
"Clarke County Public Schools","All Students","Clarke County High",97.6,97.6
"Clarke County Public Schools","Economically Disadvantaged","Clarke County High",90.9,90.9
"Clarke County Public Schools","Female","Clarke County High",100,100
"Clarke County Public Schools","Hispanic","Clarke County High",94.7,94.7
"Clarke County Public Schools","Male","Clarke County High",95,95
"Clarke County Public Schools","Multiple Races","Clarke County High",100,100
"Clarke County Public Schools","Students with Disabilities","Clarke County High",100,100
"Clarke County Public Schools","White","Clarke County High",98.5,98.5
"Colonial Beach Public Schools","All Students","Colonial Beach High",97.3,97.3
"Colonial Beach Public Schools","Economically Disadvantaged","Colonial Beach High",94.1,94.1
"Colonial Beach Public Schools","Female","Colonial Beach High",100,100
"Colonial Beach Public Schools","Male","Colonial Beach High",95.5,95.5
"Colonial Beach Public Schools","White","Colonial Beach High",96,96
"Colonial Heights City Public Schools","All Students","Colonial Heights High",86.8,92.3
"Colonial Heights City Public Schools","Black","Colonial Heights High",84.1,86.4
"Colonial Heights City Public Schools","Economically Disadvantaged","Colonial Heights High",82.6,88.4
"Colonial Heights City Public Schools","Female","Colonial Heights High",88.8,91.4
"Colonial Heights City Public Schools","Hispanic","Colonial Heights High",73.7,73.7
"Colonial Heights City Public Schools","Male","Colonial Heights High",84.7,93.2
"Colonial Heights City Public Schools","Students with Disabilities","Colonial Heights High",82.9,87.8
"Colonial Heights City Public Schools","White","Colonial Heights High",89.1,96.2
"Covington City Public Schools","All Students","Covington High",86.8,94.1
"Covington City Public Schools","Black","Covington High",90,100
"Covington City Public Schools","Economically Disadvantaged","Covington High",86.5,94.6
"Covington City Public Schools","Female","Covington High",93.1,93.1
"Covington City Public Schools","Male","Covington High",82.1,94.9
"Covington City Public Schools","Students with Disabilities","Covington High",86.7,93.3
"Covington City Public Schools","White","Covington High",83.3,91.7
"Craig County Public Schools","All Students","Craig County High",89.8,89.8
"Craig County Public Schools","Economically Disadvantaged","Craig County High",77.8,77.8
"Craig County Public Schools","Female","Craig County High",96.7,96.7
"Craig County Public Schools","Male","Craig County High",82.8,82.8
"Craig County Public Schools","White","Craig County High",89.5,89.5
"Culpeper County Public Schools","All Students","Culpeper County High",90,90.3
"Culpeper County Public Schools","Black","Culpeper County High",86.8,86.8
"Culpeper County Public Schools","Economically Disadvantaged","Culpeper County High",80.5,81.4
"Culpeper County Public Schools","English Learners","Culpeper County High",45.5,45.5
"Culpeper County Public Schools","Female","Culpeper County High",91,91.7
"Culpeper County Public Schools","Hispanic","Culpeper County High",82.1,82.1
"Culpeper County Public Schools","Male","Culpeper County High",89,89
"Culpeper County Public Schools","Students with Disabilities","Culpeper County High",91.3,91.3
"Culpeper County Public Schools","White","Culpeper County High",92.9,93.5
"Culpeper County Public Schools","All Students","Eastern View High",91.7,93.1
"Culpeper County Public Schools","Black","Eastern View High",86.5,88.5
"Culpeper County Public Schools","Economically Disadvantaged","Eastern View High",88,90.1
"Culpeper County Public Schools","English Learners","Eastern View High",65.5,65.5
"Culpeper County Public Schools","Female","Eastern View High",94,94.6
