"Division","School","Subgroup","Percent.Below.10","Percent.above.10"
"Albemarle County Public Schools","Virginia L. Murray Elementary","All Students",97.3,2.7
"Albemarle County Public Schools","Virginia L. Murray Elementary","American Indian",NA,NA
"Albemarle County Public Schools","Virginia L. Murray Elementary","Asian",94.1,5.9
"Albemarle County Public Schools","Virginia L. Murray Elementary","Black",90,10
"Albemarle County Public Schools","Virginia L. Murray Elementary","Economically Disadvantaged",82.4,17.6
"Albemarle County Public Schools","Virginia L. Murray Elementary","English Learners",100,0
"Albemarle County Public Schools","Virginia L. Murray Elementary","Female",98.4,1.6
"Albemarle County Public Schools","Virginia L. Murray Elementary","Hispanic",100,0
"Albemarle County Public Schools","Virginia L. Murray Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Virginia L. Murray Elementary","Male",96.4,3.6
"Albemarle County Public Schools","Virginia L. Murray Elementary","Multiple Races",100,0
"Albemarle County Public Schools","Virginia L. Murray Elementary","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Virginia L. Murray Elementary","Students with Disabilities",100,0
"Albemarle County Public Schools","Virginia L. Murray Elementary","White",97.4,2.6
"Albemarle County Public Schools","Western Albemarle High","All Students",93.8,6.2
"Albemarle County Public Schools","Western Albemarle High","American Indian",NA,NA
"Albemarle County Public Schools","Western Albemarle High","Asian",89.3,10.7
"Albemarle County Public Schools","Western Albemarle High","Black",84.2,15.8
"Albemarle County Public Schools","Western Albemarle High","Economically Disadvantaged",83.5,16.5
"Albemarle County Public Schools","Western Albemarle High","English Learners",90.9,9.1
"Albemarle County Public Schools","Western Albemarle High","Female",94.6,5.4
"Albemarle County Public Schools","Western Albemarle High","Hispanic",92,8
"Albemarle County Public Schools","Western Albemarle High","Homeless",NA,NA
"Albemarle County Public Schools","Western Albemarle High","Male",93,7
"Albemarle County Public Schools","Western Albemarle High","Multiple Races",91.9,8.1
"Albemarle County Public Schools","Western Albemarle High","Native Hawaiian",NA,NA
"Albemarle County Public Schools","Western Albemarle High","Students with Disabilities",87.8,12.2
"Albemarle County Public Schools","Western Albemarle High","White",94.2,5.8
"Albemarle County Public Schools","Woodbrook Elementary","All Students",94.4,5.6
"Albemarle County Public Schools","Woodbrook Elementary","Asian",97.4,2.6
"Albemarle County Public Schools","Woodbrook Elementary","Black",90.8,9.2
"Albemarle County Public Schools","Woodbrook Elementary","Economically Disadvantaged",92.2,7.8
"Albemarle County Public Schools","Woodbrook Elementary","English Learners",94.6,5.4
"Albemarle County Public Schools","Woodbrook Elementary","Female",96.3,3.7
"Albemarle County Public Schools","Woodbrook Elementary","Hispanic",95.2,4.8
"Albemarle County Public Schools","Woodbrook Elementary","Homeless",NA,NA
"Albemarle County Public Schools","Woodbrook Elementary","Male",92.5,7.5
"Albemarle County Public Schools","Woodbrook Elementary","Multiple Races",91.9,8.1
"Albemarle County Public Schools","Woodbrook Elementary","Students with Disabilities",87.9,12.1
"Albemarle County Public Schools","Woodbrook Elementary","White",97,3
"Alexandria City Public Schools","Alexandria City High","All Students",88.9,11.1
"Alexandria City Public Schools","Alexandria City High","American Indian",NA,NA
"Alexandria City Public Schools","Alexandria City High","Asian",94.6,5.4
"Alexandria City Public Schools","Alexandria City High","Black",91,9
"Alexandria City Public Schools","Alexandria City High","Economically Disadvantaged",86.2,13.8
"Alexandria City Public Schools","Alexandria City High","English Learners",83.4,16.6
"Alexandria City Public Schools","Alexandria City High","Female",90,10
"Alexandria City Public Schools","Alexandria City High","Hispanic",83,17
"Alexandria City Public Schools","Alexandria City High","Homeless",NA,NA
"Alexandria City Public Schools","Alexandria City High","Male",88,12
"Alexandria City Public Schools","Alexandria City High","Multiple Races",93.5,6.5
"Alexandria City Public Schools","Alexandria City High","Native Hawaiian",NA,NA
"Alexandria City Public Schools","Alexandria City High","Students with Disabilities",90,10
"Alexandria City Public Schools","Alexandria City High","White",94.7,5.3
"Alexandria City Public Schools","Charles Barrett Elementary","All Students",95.5,4.5
"Alexandria City Public Schools","Charles Barrett Elementary","Asian",88.9,11.1
"Alexandria City Public Schools","Charles Barrett Elementary","Black",87.5,12.5
"Alexandria City Public Schools","Charles Barrett Elementary","Economically Disadvantaged",91.4,8.6
"Alexandria City Public Schools","Charles Barrett Elementary","English Learners",94.4,5.6
"Alexandria City Public Schools","Charles Barrett Elementary","Female",96.3,3.7
"Alexandria City Public Schools","Charles Barrett Elementary","Hispanic",94.2,5.8
"Alexandria City Public Schools","Charles Barrett Elementary","Male",94.7,5.3
"Alexandria City Public Schools","Charles Barrett Elementary","Multiple Races",96.6,3.4
"Alexandria City Public Schools","Charles Barrett Elementary","Students with Disabilities",92.3,7.7
"Alexandria City Public Schools","Charles Barrett Elementary","White",97.8,2.2
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","All Students",92.2,7.8
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","American Indian",NA,NA
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Asian",100,0
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Black",85.3,14.7
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Economically Disadvantaged",91.4,8.6
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","English Learners",93.1,6.9
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Female",93,7
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Hispanic",94.5,5.5
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Homeless",NA,NA
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Male",91.6,8.4
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Multiple Races",100,0
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Native Hawaiian",NA,NA
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Students with Disabilities",91.5,8.5
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","White",90.2,9.8
"Alexandria City Public Schools","Douglas Macarthur Elementary","All Students",93.6,6.4
"Alexandria City Public Schools","Douglas Macarthur Elementary","Asian",89.3,10.7
"Alexandria City Public Schools","Douglas Macarthur Elementary","Black",88.7,11.3
"Alexandria City Public Schools","Douglas Macarthur Elementary","Economically Disadvantaged",90.2,9.8
"Alexandria City Public Schools","Douglas Macarthur Elementary","English Learners",94.3,5.7
"Alexandria City Public Schools","Douglas Macarthur Elementary","Female",95,5
"Alexandria City Public Schools","Douglas Macarthur Elementary","Hispanic",94.6,5.4
"Alexandria City Public Schools","Douglas Macarthur Elementary","Homeless",NA,NA
"Alexandria City Public Schools","Douglas Macarthur Elementary","Male",92.2,7.8
"Alexandria City Public Schools","Douglas Macarthur Elementary","Multiple Races",97.9,2.1
"Alexandria City Public Schools","Douglas Macarthur Elementary","Students with Disabilities",90.4,9.6
"Alexandria City Public Schools","Douglas Macarthur Elementary","White",95,5
"Alexandria City Public Schools","Ferdinand T. Day Elementary","All Students",92.7,7.3
"Alexandria City Public Schools","Ferdinand T. Day Elementary","American Indian",NA,NA
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Asian",95.7,4.3
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Black",96.2,3.8
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Economically Disadvantaged",92.9,7.1
"Alexandria City Public Schools","Ferdinand T. Day Elementary","English Learners",93.2,6.8
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Female",92.7,7.3
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Hispanic",89.4,10.6
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Homeless",NA,NA
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Male",92.8,7.2
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Multiple Races",80,20
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Native Hawaiian",NA,NA
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Students with Disabilities",96.8,3.2
"Alexandria City Public Schools","Ferdinand T. Day Elementary","White",92.1,7.9
"Alexandria City Public Schools","Francis C. Hammond Middle","All Students",97.7,2.3
"Alexandria City Public Schools","Francis C. Hammond Middle","American Indian",NA,NA
"Alexandria City Public Schools","Francis C. Hammond Middle","Asian",100,0
"Alexandria City Public Schools","Francis C. Hammond Middle","Black",98,2
"Alexandria City Public Schools","Francis C. Hammond Middle","Economically Disadvantaged",97.4,2.6
"Alexandria City Public Schools","Francis C. Hammond Middle","English Learners",97.7,2.3
"Alexandria City Public Schools","Francis C. Hammond Middle","Female",97.3,2.7
"Alexandria City Public Schools","Francis C. Hammond Middle","Hispanic",97.4,2.6
"Alexandria City Public Schools","Francis C. Hammond Middle","Homeless",NA,NA
"Alexandria City Public Schools","Francis C. Hammond Middle","Male",98.1,1.9
"Alexandria City Public Schools","Francis C. Hammond Middle","Multiple Races",96.7,3.3
"Alexandria City Public Schools","Francis C. Hammond Middle","Native Hawaiian",NA,NA
"Alexandria City Public Schools","Francis C. Hammond Middle","Students with Disabilities",97.1,2.9
"Alexandria City Public Schools","Francis C. Hammond Middle","White",97.1,2.9
"Alexandria City Public Schools","George Mason Elementary","All Students",88.7,11.3
"Alexandria City Public Schools","George Mason Elementary","Asian",100,0
"Alexandria City Public Schools","George Mason Elementary","Black",87.5,12.5
"Alexandria City Public Schools","George Mason Elementary","Economically Disadvantaged",83.3,16.7
"Alexandria City Public Schools","George Mason Elementary","English Learners",85.5,14.5
"Alexandria City Public Schools","George Mason Elementary","Female",87.7,12.3
"Alexandria City Public Schools","George Mason Elementary","Hispanic",85.1,14.9
"Alexandria City Public Schools","George Mason Elementary","Homeless",NA,NA
"Alexandria City Public Schools","George Mason Elementary","Male",89.6,10.4
"Alexandria City Public Schools","George Mason Elementary","Multiple Races",80,20
"Alexandria City Public Schools","George Mason Elementary","Students with Disabilities",87,13
"Alexandria City Public Schools","George Mason Elementary","White",91.1,8.9
"Alexandria City Public Schools","George Washington Middle","All Students",96.1,3.9
"Alexandria City Public Schools","George Washington Middle","Asian",100,0
"Alexandria City Public Schools","George Washington Middle","Black",93.5,6.5
"Alexandria City Public Schools","George Washington Middle","Economically Disadvantaged",94.3,5.7
"Alexandria City Public Schools","George Washington Middle","English Learners",96,4
"Alexandria City Public Schools","George Washington Middle","Female",95.5,4.5
"Alexandria City Public Schools","George Washington Middle","Hispanic",95.1,4.9
"Alexandria City Public Schools","George Washington Middle","Homeless",NA,NA
"Alexandria City Public Schools","George Washington Middle","Male",96.6,3.4
"Alexandria City Public Schools","George Washington Middle","Multiple Races",93.5,6.5
"Alexandria City Public Schools","George Washington Middle","Native Hawaiian",NA,NA
"Alexandria City Public Schools","George Washington Middle","Students with Disabilities",90,10
"Alexandria City Public Schools","George Washington Middle","White",98,2
"Alexandria City Public Schools","James K. Polk Elementary","All Students",95.8,4.2
"Alexandria City Public Schools","James K. Polk Elementary","American Indian",NA,NA
"Alexandria City Public Schools","James K. Polk Elementary","Asian",96.2,3.8
"Alexandria City Public Schools","James K. Polk Elementary","Black",96.8,3.2
"Alexandria City Public Schools","James K. Polk Elementary","Economically Disadvantaged",94.6,5.4
"Alexandria City Public Schools","James K. Polk Elementary","English Learners",94.7,5.3
"Alexandria City Public Schools","James K. Polk Elementary","Female",95.5,4.5
"Alexandria City Public Schools","James K. Polk Elementary","Hispanic",92.5,7.5
"Alexandria City Public Schools","James K. Polk Elementary","Homeless",NA,NA
"Alexandria City Public Schools","James K. Polk Elementary","Male",96,4
"Alexandria City Public Schools","James K. Polk Elementary","Multiple Races",100,0
"Alexandria City Public Schools","James K. Polk Elementary","Students with Disabilities",97.3,2.7
"Alexandria City Public Schools","James K. Polk Elementary","White",98.8,1.2
"Alexandria City Public Schools","Jefferson-Houston PK-8 School","All Students",88.7,11.3
